0.000	-10.853
0.010	-10.800
0.021	-10.800
0.034	-10.960
0.044	-10.880
0.056	-10.960
0.066	-10.880
0.077	-10.960
0.087	-10.720
0.098	-10.880
0.108	-10.800
0.117	-10.640
0.130	-10.800
0.140	-10.800
0.150	-10.720
0.161	-10.800
0.172	-10.880
0.184	-10.880
0.195	-10.800
0.205	-10.720
0.217	-10.800
0.226	-10.720
0.239	-10.880
0.249	-10.720
0.259	-10.720
0.268	-10.720
0.281	-10.880
0.293	-10.880
0.302	-10.800
0.314	-10.800
0.323	-10.720
0.336	-10.880
0.345	-10.720
0.357	-10.800
0.366	-10.800
0.378	-10.720
0.390	-10.800
0.399	-10.640
0.409	-10.800
0.421	-10.720
0.431	-10.720
0.442	-10.720
0.454	-10.800
0.465	-10.800
0.476	-10.640
0.486	-10.640
0.499	-10.800
0.508	-10.800
0.518	-10.640
0.529	-10.720
0.538	-10.640
0.552	-10.720
0.562	-10.800
0.574	-10.880
0.582	-10.640
0.592	-10.640
0.605	-10.720
0.616	-10.640
0.625	-10.560
0.638	-10.720
0.648	-10.720
0.659	-10.720
0.670	-10.640
0.679	-10.640
0.691	-10.800
0.702	-10.800
0.712	-10.720
0.724	-10.800
0.733	-10.640
0.745	-10.640
0.757	-10.800
0.766	-10.720
0.778	-10.720
0.788	-10.640
0.800	-10.800
0.811	-10.640
0.821	-10.560
0.832	-10.640
0.841	-10.640
0.852	-10.720
0.866	-10.800
0.875	-10.800
0.885	-10.640
0.898	-10.720
0.908	-10.640
0.917	-10.640
0.928	-10.560
0.939	-10.560
0.948	-10.480
0.961	-10.800
0.970	-10.480
0.981	-10.400
0.993	-10.560
1.005	-10.720
1.015	-10.640
1.025	-10.400
1.037	-10.640
1.047	-10.480
1.057	-10.400
1.067	-10.400
1.080	-10.560
1.091	-10.320
1.100	-10.150
1.112	-10.400
1.125	-10.400
1.135	-10.400
1.146	-10.400
1.156	-10.400
1.165	-9.990
1.176	-10.070
1.189	-10.150
1.200	-10.150
1.210	-9.990
1.219	-9.910
1.231	-9.830
1.242	-9.830
1.252	-9.670
1.264	-9.750
1.275	-9.670
1.286	-9.670
1.296	-9.510
1.306	-9.350
1.316	-9.350
1.327	-9.110
1.340	-9.270
1.349	-8.950
1.359	-8.860
1.372	-8.950
1.382	-8.620
1.393	-8.460
1.404	-8.540
1.414	-8.300
1.426	-8.220
1.434	-8.060
1.447	-7.820
1.459	-7.820
1.467	-7.250
1.479	-7.250
1.490	-7.170
1.499	-6.850
1.513	-6.930
1.521	-6.290
1.532	-6.120
1.545	-5.880
1.553	-5.480
1.566	-5.400
1.576	-4.920
1.587	-4.670
1.598	-4.430
1.608	-3.710
1.617	-3.470
1.630	-3.220
1.641	-2.660
1.653	-2.180
1.660	-1.690
1.672	-1.210
1.683	-0.560
1.695	-0.080
1.704	0.560
1.714	1.290
1.726	1.850
1.737	2.340
1.749	3.060
1.758	4.030
1.770	4.590
1.779	5.640
1.791	6.530
1.800	7.820
1.812	8.540
1.824	10.070
1.832	10.720
1.845	11.930
1.854	13.460
1.866	14.670
1.875	16.120
1.885	17.650
1.898	19.660
1.909	20.870
1.918	22.240
1.932	24.340
1.941	26.190
1.952	28.450
1.961	30.620
1.973	33.200
1.984	35.050
1.993	38.120
2.003	40.210
2.015	43.520
2.025	46.500
2.038	50.370
2.048	52.860
2.057	56.890
2.069	60.600
2.078	63.740
2.087	65.600
2.100	64.310
2.109	63.420
2.114	62.210
2.114	61.160
2.114	60.120
2.112	59.070
2.115	57.780
2.113	56.810
2.114	55.770
2.111	54.880
